Designator,Mid X,Mid Y,Rotation,Layer
_4,160.0,-27.0,0.0,top
_3,246.0,-27.0,0.0,top
_2,246.0,-153.0,0.0,top
,160.0,-153.0,0.0,top
BZ1,125.0,-27.199999,90.0,bottom
D1,173.0,-69.025,90.0,top
D2,202.0,-69.025,90.0,top
D3,231.0,-69.025,90.0,top
DS1,98.95045,-47.56285,0.0,top
J1,119.5,-145.0,0.0,bottom
J2,55.0,-40.19,180.0,top
J3,99.0,-144.955,0.0,bottom
J4,158.0,-40.19,180.0,bottom
MOUSE-BITE-3MM-SLOT_3,151.5,-27.994,90.0,top
MOUSE-BITE-3MM-SLOT_2,151.5,-141.994,90.0,top
MOUSE-BITE-3MM-SLOT,151.5,-86.994,90.0,top
Q1,114.0625,-32.05,180.0,bottom
Q2,100.45,-132.5625,270.0,bottom
R1,109.0,-35.0,270.0,bottom
R10,93.0,-46.0,270.0,bottom
R6,147.5,-35.0,90.0,bottom
R8,205.0,-69.025,90.0,top
RV1,73.499999,-39.215,90.0,bottom
SW1,70.0,-82.91,0.0,top
SW2,98.92,-82.91,0.0,top
SW3,128.0,-82.91,0.0,top
SW4,98.81,-105.45,0.0,top
SW6,69.81,-105.45,0.0,top
SW7,69.81,-129.95,0.0,top
SW8,114.5,-23.33,180.0,bottom
U1,130.25,-50.58,90.0,bottom
U2,132.5,-119.75,180.0,top
U4,85.0,-39.0,90.0,bottom
